,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
29,prerank,KRAS Signaling Dn,-0.3975653203461199,-1.2564608980757233,0.13695090439276486,0.21002593893133623,0.985,25/64,18.26%,THRB;P2RX6;ATP6V1B1;IGFBP2;MX1;HSD11B2;THNSL2;DTNB;BTG2;IDUA;YPEL1;CAMK1D;FGGY;C5;EPHA5;CLSTN3;TGM1;TENM2;PLAG1;MAST3;NR4A2;PTGFR;MFSD6;MTHFR;PTPRJ
30,prerank,Xenobiotic Metabolism,-0.35949982276355086,-1.2399164168204355,0.11211778029445074,0.2235380046937114,0.994,23/131,12.66%,VTN;FBLN1;CFB;IL1R1;AKR1C3;CYP2E1;PDK4;GSTM4;PTGES;F10;SLC6A6;ABCC3;IGFBP4;GCH1;CD36;PROS1;CYP27A1;CYB5A;IGFBP1;CYFIP2;EPHX1;ALDH2;SLC1A5
31,prerank,Notch Signaling,-0.44770403992796537,-1.2233610004742308,0.20926966292134833,0.2395948081804684,0.997,14/28,26.73%,WNT2;JAG1;HES1;TCF7L2;DTX4;DLL1;FZD5;WNT5A;NOTCH1;NOTCH3;SAP30;ARRB1;PSENEN;FBXW11
32,prerank,Estrogen Response Early,-0.3439733803870374,-1.1970063431832223,0.15688487584650113,0.27286007253917594,1.0,35/146,14.56%,FOS;ELOVL2;HR;KCNK15;DEPTOR;RASGRP1;DHRS3;SEMA3B;IL6ST;ANXA9;TPD52L1;PTGES;SYNGR1;MUC1;IGFBP4;ASB13;HES1;PGR;RHOBTB3;NAV2;BCL2;INHBB;ALDH3B1;KRT18;UGCG;TGIF2;KRT8;RARA;SVIL;ADCY9;GAB2;RPS6KA2;CISH;FOXC1;NRIP1
33,prerank,heme Metabolism,-0.33530973794737967,-1.175996160458772,0.18292682926829268,0.29907833333680395,1.0,40/145,24.47%,C3;SLC6A9;ABCG2;SELENBP1;MOCOS;BCAM;MXI1;ASNS;ANK1;SLC7A11;GYPC;BTG2;BACH1;BMP2K;BNIP3L;ERMAP;NCOA4;DAAM1;EZH1;HEBP1;CCDC28A;ALDH6A1;CAT;MKRN1;RNF123;TRAK2;SDCBP;TFDP2;CTSB;ACP5;RCL1;NFE2L1;LAMP2;LPIN2;TCEA1;UROS;BSG;RBM38;KLF3;SLC22A4
34,prerank,Hedgehog Signaling,-0.4363577296466598,-1.1272045759946665,0.30246913580246915,0.38104973897217304,1.0,5/21,11.69%,L1CAM;VEGFA;PTCH1;AMOT;PML
35,prerank,Glycolysis,0.24619493586037305,1.1184630144147505,0.15384615384615385,0.27466027663188547,0.828,37/156,16.32%,SOX9;MET;TGFA;GCLC;SDC1;EXT2;AURKA;FUT8;PRPS1;GALK2;CDK1;TGFBI;CENPA;KDELR3;SLC25A10;PKM;SLC25A13;PFKP;STC1;CD44;PSMC4;FKBP4;GALE;MDH2;TSTA3;MED24;RPE;CLN6;GMPPB;POLR3K;BPNT1;HSPA5;PPIA;P4HA2;XYLT2;NT5E;DEPDC1
36,prerank,IL-2/STAT5 Signaling,-0.31860641628065095,-1.103208653894713,0.2811791383219955,0.4152593515015087,1.0,33/141,15.45%,PIM1;MAP3K8;DHRS3;FLT3LG;PTH1R;SOCS2;CSF1;NFKBIZ;IFITM3;MUC1;PRKCH;BATF3;GBP4;BCL2;PLSCR1;SMPDL3A;PTCH1;GPX4;AHR;CAPN3;SNX9;PENK;COL6A1;NDRG1;SLC1A5;SWAP70;CISH;CD83;MYO1E;FGL2;SLC2A3;P4HA1;HK2
37,prerank,Apical Surface,-0.39944864243173533,-1.101906514832113,0.326271186440678,0.402318118683845,1.0,12/28,22.80%,GAS1;SULF2;GSTM3;SLC34A3;MDGA1;RTN4RL1;EFNA5;LYN;SRPX;AKAP7;TMEM8B;ADAM10
38,prerank,UV Response Dn,-0.31527068193817676,-1.093835918977948,0.3187066974595843,0.4040875733725008,1.0,41/130,21.83%,EFEMP1;DBP;COL3A1;TGFBR3;IGFBP5;CDON;CACNA1A;SMAD3;ADORA2B;PDGFRB;PPARG;NFIB;ABCC1;TFPI;ACVR2A;ATRX;SCN8A;PMP22;SNAI2;CITED2;INPP4B;GCNT1;LTBP1;MAP2K5;SFMBT1;ATXN1;CDKN1B;SLC22A18;ERBB2;PTGFR;MTA1;LAMC1;FBLN5;SDC2;F3;MGMT;GRK5;IGF1R;ATP2B1;BCKDHB;PHF3
